"Category","Agriculture, Forestry And Other Land Use","Energy","Industrial Processes And Product Use","Waste","Total"
"2005",13716536,96585203,19319758,9198808,138820304
"2006",14104390,103091134,20059892,9719811,146975227
"2007",14526392,119195640,20571042,10049056,164342130
"2008",14799836,133543811,20518560,10384757,179246965
"2009",15042075,137620871,22444816,10998763,186106525
"2010",15866041,142085370,24015630,11671256,193638297
"2011",16252577,158613208,25882818,12388630,213137233
"2012",15910224,181951900,27578599,13470200,238910922
"2013",16255976,159922962,28264645,14228915,218672497
"2014",16595175,196901719,28643661,14766864,256907419
"2015",16364257,198793740,29766909,9550408,254475314
"2016",15476954,205957005,29893891,9476406,260804256
"2017",16007022,223786682,39805922,9856452,289456078
"2018",14582031,227398584,34895394,10108518,286984527